Catalog Number,Calendar Year,Calendar Month,Calendar Day,Delta,ΔT s,Luna_Num,Saros_Num,Ecl. Type,QLE,Gamma,magnitude,Lat °,Long °,Sun Alt °,Path Width km,Central Dur.
4524,-99,May,7,00:22:02,11568,-25957,75,T,p-,0.5708,1.0633,47N,158W,55,251,4.28
4525,-99,Oct,31,08:01:17,11563,-25951,80,A,p-,-0.8354,0.9132,60S,59E,33,594,7.11
4526,-98,Mar,28,09:55:44,11558,-25946,47,P,t-,-1.2491,0.5408,61S,168E,0,0,0
4527,-98,Apr,26,17:26:44,11558,-25945,85,P,t-,1.2874,0.4672,62N,149W,0,0,0
4528,-98,Sep,20,15:21:31,11553,-25940,52,P,t-,1.4331,0.2172,61N,91E,0,0,0
4529,-98,Oct,20,07:32:27,11552,-25939,90,P,t-,-1.494,0.1233,61S,5E,0,0,0
4530,-97,Mar,17,23:02:59,11548,-25934,57,H,p-,-0.5539,1.0001,31S,97W,56,0,0
4531,-97,Sep,10,00:46:41,11543,-25928,62,T,p-,0.6525,1.0204,41N,120W,49,90,1.34
4532,-96,Mar,6,05:02:17,11537,-25922,67,A,nn,0.1928,0.9495,3N,151E,79,188,5.38
4533,-96,Aug,29,15:55:39,11532,-25916,72,T,nn,-0.0752,1.0636,7N,13W,86,209,5.18
4534,-95,Feb,23,05:14:37,11527,-25910,77,A,p-,0.9222,0.9229,48N,115E,22,732,7.19
4535,-95,Aug,19,08:24:57,11521,-25904,82,T,p-,-0.7919,1.0472,33S,79E,37,252,3.47
4536,-94,Jan,13,16:04:15,11517,-25899,49,P,t-,-1.2771,0.4883,64S,136E,0,0,0
4537,-94,Jul,10,09:59:11,11512,-25893,54,P,t-,1.1341,0.7419,64N,129W,0,0,0
4538,-93,Jan,3,03:31:36,11507,-25887,59,T,p-,-0.5331,1.0275,55S,173W,58,110,2.02
4539,-93,Jun,29,13:13:16,11501,-25881,64,A,p-,0.3945,0.9493,47N,33E,67,203,5.17
4540,-93,Dec,23,18:57:31,11496,-25875,69,T,n-,0.1453,1.0474,15S,56W,82,159,4.28
4541,-92,Jun,17,13:51:37,11491,-25869,74,A,p-,-0.3699,0.9576,2N,18E,68,166,5.48
4542,-92,Dec,12,09:44:07,11485,-25863,79,H,p-,0.8354,1.0081,34N,81E,33,51,0.46
4543,-91,May,8,09:27:57,11481,-25858,46,Pe,t-,1.5167,0.0414,70N,58W,0,0,0
4544,-91,Jun,6,19:11:26,11480,-25857,84,P,t-,-1.1144,0.7821,67S,56W,0,0,0
4545,-91,Nov,2,02:35:52,11476,-25852,51,P,t-,-1.3683,0.3341,70S,50E,0,0,0
4546,-90,Apr,28,00:32:53,11471,-25846,56,T,p-,0.7309,1.0677,58N,161W,43,324,4.32
4547,-90,Oct,22,02:25:08,11465,-25840,61,A,p-,-0.7103,0.9164,53S,170E,44,450,8.11
4548,-89,Apr,17,17:40:32,11460,-25834,66,T,nn,-0.0015,1.0692,9N,38W,90,225,6.15
4549,-89,Oct,11,03:02:29,11455,-25828,71,A,nn,-0.0036,0.9494,6S,179E,90,186,6.12
4550,-88,Apr,6,08:09:48,11450,-25822,76,T,p-,-0.7707,1.0148,43S,124E,39,79,1.16
4551,-88,Sep,29,10:30:23,11444,-25816,81,H,p-,0.702,1.0013,41N,85E,45,6,0.07
4552,-87,Feb,25,00:33:44,11440,-25811,48,P,t-,1.3053,0.4406,71N,165E,0,0,0
4553,-87,Aug,20,15:49:58,11435,-25805,53,P,t-,-1.2346,0.5682,70S,56W,0,0,0
4554,-87,Sep,19,00:29:08,11434,-25804,91,P,t-,1.3559,0.3372,72N,42W,0,0,0
4555,-86,Feb,14,00:13:10,11429,-25799,58,A,p-,0.6022,0.9307,22N,140W,53,323,8.51
4556,-86,Aug,10,07:56:02,11424,-25793,63,T,p-,-0.5444,1.0422,16S,103E,57,168,4.06
4557,-85,Feb,3,03:13:49,11419,-25787,68,A,nn,-0.1302,0.9709,25S,175W,82,105,3.15
4558,-85,Jul,30,19:29:21,11414,-25781,73,A,nn,0.2084,0.9926,32N,62W,78,27,0.46
4559,-84,Jan,23,13:23:46,11409,-25775,78,T,p-,-0.8246,1.0158,75S,53E,34,97,1.01
4560,-84,Jul,18,23:54:35,11403,-25769,83,An,t-,0.9965,0.9375,70N,38E,2,-,3.39
4561,-84,Dec,13,18:04:07,11399,-25764,50,P,t-,1.2064,0.6199,65N,20W,0,0,0
4562,-83,Jan,12,04:29:23,11398,-25763,88,P,t-,-1.4617,0.1379,68S,25W,0,0,0
4563,-83,Jun,8,10:14:58,11394,-25758,55,P,t-,-1.0867,0.8208,64S,102E,0,0,0
4564,-83,Dec,3,07:47:15,11388,-25752,60,A,p-,0.5675,0.9974,12N,117E,55,11,0.16
4565,-82,May,28,17:37:45,11383,-25746,65,T,nn,-0.2698,1.0209,6N,34W,74,74,2.11
4566,-82,Nov,22,15:19:03,11378,-25740,70,A,nn,-0.1272,0.9458,27S,8W,83,201,6.01
4567,-81,May,18,07:45:45,11373,-25734,75,T,p-,0.4964,1.0674,46N,95E,60,253,4.52
4568,-81,Nov,11,15:58:12,11368,-25728,80,A,p-,-0.8266,0.9117,64S,61W,34,595,7.12
4569,-80,Apr,7,17:37:49,11363,-25723,47,P,t-,-1.3085,0.4277,61S,43E,0,0,0
4570,-80,May,7,00:58:19,11362,-25722,85,P,t-,1.221,0.5958,62N,89E,0,0,0
4571,-80,Sep,30,23:12:44,11358,-25717,52,P,t-,1.4562,0.1769,61N,37W,0,0,0
4572,-80,Oct,30,15:31:59,11357,-25716,90,P,t-,-1.4782,0.1498,62S,125W,0,0,0
4573,-79,Mar,28,06:31:33,11353,-25711,57,A,p-,-0.6108,0.9989,31S,151E,52,5,0.06
4574,-79,Sep,20,08:53:49,11348,-25705,62,T,p-,0.6823,1.0197,39N,118E,47,90,1.32
4575,-78,Mar,17,12:11:29,11342,-25699,67,A,nn,0.1385,0.9506,4N,43E,82,183,5.27
4576,-78,Sep,10,00:05:45,11337,-25693,72,T,nn,-0.0372,1.0611,5N,136W,88,201,5.02
4577,-77,Mar,6,12:24:40,11332,-25687,77,A,p-,0.8741,0.9279,45N,8E,29,539,6.5
4578,-77,Aug,30,16:21:46,11327,-25681,82,T,p-,-0.7491,1.0429,33S,42W,41,211,3.25
4579,-76,Jan,25,00:16:04,11323,-25676,49,P,t-,-1.2891,0.4668,63S,2E,0,0,0
4580,-76,Feb,23,14:20:30,11322,-25675,87,Pb,t-,1.5513,0.0121,61N,53W,0,0,0
4581,-76,Jul,20,16:54:35,11317,-25670,54,P,t-,1.2084,0.6094,64N,116E,0,0,0
4582,-76,Aug,19,05:01:57,11316,-25669,92,Pb,t-,-1.5314,0.0299,62S,90E,0,0,0
4583,-75,Jan,13,12:09:37,11312,-25664,59,T,p-,-0.5414,1.0315,53S,61E,57,127,2.19
4584,-75,Jul,9,19:40:40,11307,-25658,64,A,p-,0.4782,0.9461,51N,59W,61,226,5.18
4585,-74,Jan,3,03:45:55,11302,-25652,69,T,n-,0.1398,1.0485,15S,171E,82,163,4.3
4586,-74,Jun,28,20:21:24,11297,-25646,74,A,pn,-0.2842,0.9589,7N,81W,74,156,5.29
4587,-74,Dec,23,18:26:24,11291,-25640,79,H,p-,0.835,1.0066,33N,54W,33,41,0.37
